# litman journal full-name -> ISO4 abbreviation table.
# Source: JabRef abbrv.jabref.org (CC0 1.0). Merged: ACS + life-science
# lists, de-duplicated by normalized full name (ACS precedence).
# Columns: "Full journal name","ISO4 abbreviation". Loader skips # lines.
"AACN Clinical Issues","AACN Clin. Issues"
"Advances in Pathobiology","Adv. Pathobiol."
"Advances in Pediatric Infectious Diseases","Adv. Pediatr. Infect. Dis."
"Advances in Pediatrics","Adv. Pediatr."
"Advances in Peritoneal Dialysis","Adv. Perit. Dial."
"Advances in Pest Control Research","Adv. Pest Control Res."
"Advances in Pharmaceutical Sciences","Adv. Pharm. Sci."
"Advances in Pharmacology","Adv. Pharmacol."
"Advances in Pharmacology and Chemotherapy","Adv. Pharmacol. Chemother."
"Advances in Planned Parenthood","Adv. Plan. Parent."
"Advances in Polymer Science","Adv. Polym. Sci."
"Advances in Polymer Technology","Adv. Polym. Technol."
"Advances in Prostaglandin and Thromboxane Research","Adv. Prostaglandin Thromboxane Res."
"Advances in Prostaglandin, Thromboxane, and Leukotriene Research","Adv. Prostaglandin. Thromboxane. Leukot. Res."
"Advances in Protein Chemistry","Adv. Protein Chem."
"Advances in Psychobiology","Adv. Psychobiol."
"Advances in Psychosomatic Medicine","Adv. Psychosom. Med."
"Advances in Renal Replacement Therapy","Adv. Ren. Replace. Ther."
"Advances in Reproductive Physiology","Adv. Reprod. Physiol."
"Advances in Second Messenger and Phosphoprotein Research","Adv. Second Messenger Phosphoprotein Res."
"Advances in Sex Hormone Research","Adv. Sex Horm. Res."
"Advances in Shock Research","Adv. Shock Res."
"Advances in Socio-Dental Research","Adv. Sociodent. Res."
"Advances in Space Biology and Medicine","Adv. Space Biol. Med."
"Advances in Steroid Biochemistry and Pharmacology","Adv. Steroid Biochem. Pharmacol."
"Advances in Surgery","Adv. Surg."
"Advances in the Biosciences","Adv. Biosci."
"Advances in Therapy","Adv. Ther."
"Advances in Tracer Methodology","Adv. Tracer Methodol."
"Advances in Tuberculosis Research","Adv. Tuberc. Res."
"Advances in Veterinary Medicine","Adv. Vet. Med."
"Advances in Veterinary Science","Adv. Vet. Sci."
"Advances in Veterinary Science and Comparative Medicine","Adv. Vet. Sci. Comp. Med."
"Advances in Virus Research","Adv. Virus Res."
"Advances in Wound Care","Adv. Wound Care"
"Advances in X-Ray Analysis","Adv. X-Ray Anal."
"Advances Materials Technologies","Adv. Mat. Technol."
"Advancing Clinical Care","Adv. Clin. Care"
"Adverse Drug Reactions and Acute Poisoning Reviews","Adverse Drug React. Acute Poisoning Rev."
"Adverse Drug Reactions and Toxicological Reviews","Adverse Drug React. Toxicol. Rev."
"Advertising Age","Advert. Age"
"Aeromedical Review","Aeromed. Rev."
"Aerosol Science and Technology","Aerosol Sci. Technol."
"Aerospace Medicine","Aerosp. Med."
"Aesthetic Plastic Surgery","Aesthetic Plast. Surg."
"Afinidad","Afinidad"
"AFL-CIO American Federationist","AFL. CIO Am. Fed."
"African Dental Journal","Afr. Dent. J."
"African Health Sciences","Afr. Health Sci."
"African Journal of Medical Sciences","Afr. J. Med. Sci."
"African Journal of Medicine and Medical Sciences","Afr. J. Med. Med. Sci."
"African Journal of Psychiatry","Afr. J. Psychiatry"
"African Journal of Reproductive Health","Afr. J. Reprod. Health"
"Age and Ageing","Age Ageing"
"Aged Care and Services Review","Aged Care Serv. Rev."
"Ageing Research Reviews","Ageing Res. Rev."
"Agents and Actions","Agents Actions"
"Agents and Actions. Supplements","Agents Actions. Suppl."
"Aggiornamenti Clinicoterapeutici","Aggiorn. Clinico Ter."
"Aging","Aging (Milano)"
"Aging and Leisure Living","Aging Leis. Living"
"Aging and Mental Health","Aging Ment. Health"
"Aging Cell","Aging Cell"
"Aging Clinical and Experimental Research","Aging Clin. Exp. Res."
"Aging Male","Aging Male"
"Aging Trends","Aging Trends"
"Agnes Karll-Schwester. Der Krankenpfleger","Agnes Karll Schwest. Krankenpfleger"
"Agressologie","Agressologie"
"Agricultural and Biological Chemistry","Agric. Biol. Chem."
"AHA Hospital Technology Series","AHA Hosp. Technol. Ser."
"AHME Journal","AHME J."
"Ahot Be-Yisrael","Ahot Beyisrael."
"AIA Journal","AIA J."
"AIChE Journal","AIChE J."
"Aichi Gakuin Daigaku Shigakkai Shi (Aichi-Gakuin Journal of Dental Science)","Aichi Gakuin Daigaku Shigakkai Shi"
"Aichi-Gakuin Dental Science","Aichi Gakuin Dent. Sci."
"AIDS","AIDS"
"AIDS Care","AIDS Care"
"AIDS Clinical Review","AIDS Clin. Rev."
"AIDS Education and Prevention","AIDS Educ. Prev."
"AIDS Patient Care and STDs","AIDS Patient Care STDS"
"AIDS Research","AIDS Res."
"AIDS Research and Human Retroviruses","AIDS Res. Hum. Retroviruses"
"AIDS Reviews","AIDS Rev."
"AIHA Journal","AIHA J."
"AIHAJ","AIHAJ"
"Air and Waste","Air Waste"
"Air and Water Pollution","Air Water Pollut."
"Air Medical Journal","Air Med. J."
"AJNR: American Journal of Neuroradiology","AJNR Am. J. Neuroradiol."
"AJR: American Journal of Roentgenology","AJR Am. J. Roentgenol."
"AJS: American Journal of Sociology","AJS"
"Aktuelle Gerontologie","Aktuelle Gerontol."
"Aktuelle Oto-Rhino-Laryngologie","Aktuelle Otorhinolaryngol."
"Aktuelle Probleme in Chirurgie und Orthopadie","Aktuelle Probl. Chir. Orthop."
"Aktuelle Probleme in der Chirurgie","Aktuelle Probl. Chir."
"Aktuelle Radiologie","Aktuelle Radiol."
"Aktuelle Traumatologie","Aktuelle Traumatol."
"Akusherstvo i Ginekologiia","Akush. Ginekol. (Sofiia)"
"Alabama Journal of Medical Sciences","Ala. J. Med. Sci."
"Alabama Medicine","Ala. Med."
"Alabama Nurse","Ala. Nurse"
"ALAFO: Revista de la Asociacion Latinoamericana de Facultades de Odontologia","ALAFO"
"Alaska Medicine","Alaska Med."
"Alaska Nurse","Alaska Nurse"
"Albany Law Review","Albany Law Rev."
"Albrecht von Graefes Archiv fur Klinische und Experimentelle Ophthalmologie","Albrecht von Graefes Arch. Klin. Exp. Ophthalmol."
"Alcohol","Alcohol"
"Alcohol and Alcoholism","Alcohol Alcohol."
"Alcohol and Alcoholism. Supplement","Alcohol Alcohol. Suppl."
"Alcohol and Drug Research","Alcohol Drug Res."
"Alcohol Health and Research World","Alcohol Health Res. World"
"Alcohol Research and Health","Alcohol Res. Health"
"Alcoholism, Clinical and Experimental Research","Alcohol. Clin. Exp. Res."
"Alergia","Alergia"
"Alexandria Dental Journal","Alex. Dent. J."
"Alimentary Pharmacology and Therapeutics","Aliment. Pharmacol. Ther."
"Alimentation et la Vie","Aliment. Vie"
"Alkaloids, Chemistry and Biology","Alkaloids Chem. Biol."
"Allergie et Immunologie","Allerg. Immunol. (Paris)"
"Allergie und Asthma","Allerg. Asthma (Leipz.)"
"Allergie und Asthmaforschung","Allerg. Asthmaforsch."
"Allergie und Immunologie","Allerg. Immunol. (Leipz.)"
"Allergologia et Immunopathologia","Allergol. Immunopathol. (Madr.)"
"Allergy","Allergy"
"Allergy and Asthma Proceedings","Allergy Asthma Proc."
"Allergy Proceedings","Allergy Proc."
"Allied Health and Behavioral Sciences","Allied Health Behav. Sci."
"Alma Mater","Alma Mater (Baltimore)"
"Alpha Omega France","Alpha Omega Fr."
"Alpha Omegan","Alpha Omegan"
"Altern und Entwicklung (Aging and Development)","Altern Entwickl. Aging Dev."
"Alternative Medicine Review","Altern. Med. Rev."
"Alternative Therapies in Health and Medicine","Altern. Ther. Health Med."
"Alumnae Magazine, Columbia University-Presbyterian Hospital School of Nursing Alumnae Association","Alumnae Mag. Columbia Univ. Presbyt. Hosp. Sch. Nurs. Alumnae Assoc."
"Alumnae Magazine, Johns Hopkins Hospital School of Nursing Alumnae Association","Alumnae Mag. Johns Hopkins Hosp. Sch. Nurs. Alumnae Assoc."
"Alumni Bulletin, School of Dentistry, Indiana University","Alumni Bull. Sch. Dent. Indiana Univ."
"Alumni Bulletin, University of Michigan School of Dentistry","Alumni Bull. Univ. Mich. Sch. Dent."
"Alumni Magazine, Alumni Association of the Johns Hopkins Hospital School of Nursing","Alumni Mag."
"Alumni Magazine, Columbia University-Presbyterian Hospital School of Nursing Alumni Association","Alumni Mag. Columbia Univ. Presbyt. Hosp. Sch. Nurs. Alumni Assoc."
"Alzheimer Disease and Associated Disorders","Alzheimer Dis. Assoc. Disord."
"AM Reports","AM Rep."
"AMB: Revista da Associacao Medica Brasileira","AMB Rev. Assoc. Med. Bras."
"Ambulatory Care","Ambul. Care"
"Ambulatory Outreach","Ambul. Outreach"
"Ambulatory Pediatrics","Ambul. Pediatr."
"AMD-TR Reports","AMD. TR Rep."
"AMDI Bollettino","AMDI Boll."
"American Annals of the Deaf","Am. Ann. Deaf"
"American Archives of Rehabilitation Therapy","Am. Arch. Rehabil. Ther."
"American Association of Industrial Nurses Journal","Am. Assoc. Ind. Nurses J."
"American Behavioral Scientist","Am. Behav. Sci."
"American Biotechnology Laboratory","Am. Biotechnol. Lab."
"American Ceramic Society Bulletin","Am. Ceram. Soc. Bull."
"American Chemical Science Journal","Am. Chem. Sci. J."
"American Clinical Laboratory","Am. Clin. Lab."
"American College of Physicians Observer","Am. Coll. Physicians Obs."
"American Corrective Therapy Journal","Am. Correct. Ther. J."
"American Demographics","Am. Demogr."
"American Economic Review","Am. Econ. Rev."
"American Education","Am. Educ."
"American Family Physician","Am. Fam. Physician"
"American Family Physician/GP","Am. Fam. Physician. GP"
"American Heart Hospital Journal","Am. Heart Hosp. J."
"American Heart Journal","Am. Heart J."
"American Imago","Am. Imago"
"American Indian and Alaska Native Mental Health Research","Am. Indian Alsk. Native Ment. Health Res."
"American Indian and Alaska Native Mental Health Research. Monograph Series","Am. Indian Alsk. Native Ment. Health Res. Monogr. Ser."
"American Industrial Hygiene Association Journal","Am. Ind. Hyg. Assoc. J."
"American Journal of Alzheimer's Disease and Other Dementias","Am. J. Alzheimers Dis. Other Demen."
"American Journal of Anatomy","Am. J. Anat."
"American Journal of Anesthesiology","Am. J. Anesthesiol."
"American Journal of Art Therapy","Am. J. Art Ther."
"American Journal of Bioethics","Am. J. Bioeth."
"American Journal of Botany","Am. J. Bot."
"American Journal of Cardiac Imaging","Am. J. Card. Imaging"
"American Journal of Cardiology","Am. J. Cardiol."
"American Journal of Cardiovascular Drugs","Am. J. Cardiovasc. Drugs"
"American Journal of Cardiovascular Pathology","Am. J. Cardiovasc. Pathol."
"American Journal of Chinese Medicine","Am. J. Chin. Med."
"American Journal of Clinical Dermatology","Am. J. Clin. Dermatol."
"American Journal of Clinical Hypnosis","Am. J. Clin. Hypn."
"American Journal of Clinical Nutrition","Am. J. Clin. Nutr."
"American Journal of Clinical Oncology","Am. J. Clin. Oncol."
"American Journal of Clinical Pathology","Am. J. Clin. Pathol."
"American Journal of Community Psychology","Am. J. Community Psychol."
"American Journal of Contact Dermatitis","Am. J. Contact Dermat."
"American Journal of Critical Care","Am. J. Crit. Care"
"American Journal of Dentistry","Am. J. Dent."
"American Journal of Dermatopathology","Am. J. Dermatopathol."
"American Journal of Digestive Diseases","Am. J. Dig. Dis."
"American Journal of Diseases of Children","Am. J. Dis. Child."
"American Journal of Drug and Alcohol Abuse","Am. J. Drug Alcohol Abuse"
"American Journal of Economics and Sociology","Am. J. Econ. Sociol."
"American Journal of EEG Technology","Am. J. EEG Technol."
"American Journal of Emergency Medicine","Am. J. Emerg. Med."
"American Journal of Epidemiology","Am. J. Epidemiol."
"American Journal of Forensic Medicine and Pathology","Am. J. Forensic Med. Pathol."
"American Journal of Gastroenterology","Am. J. Gastroenterol."
"American Journal of Geriatric Pharmacotherapy","Am. J. Geriatr. Pharmacother."
"American Journal of Geriatric Psychiatry","Am. J. Geriatr. Psychiatry"
"American Journal of Health Behavior","Am. J. Health Behav."
"American Journal of Health Planning","Am. J. Health Plann."
"American Journal of Health Promotion","Am. J. Health Promot."
"American Journal of Health-System Pharmacy","Am. J. Health. Syst. Pharm."
"American Journal of Hematology","Am. J. Hematol."
"American Journal of Hospice and Palliative Care","Am. J. Hosp. Palliat. Care"
"American Journal of Hospice Care","Am. J. Hosp. Care"
"American Journal of Hospital Pharmacy","Am. J. Hosp. Pharm."
"American Journal of Human Genetics","Am. J. Hum. Genet."
"American Journal of Hypertension","Am. J. Hypertens."
"American Journal of Industrial Medicine","Am. J. Ind. Med."
"American Journal of Infection Control","Am. J. Infect. Control"
"American Journal of Kidney Diseases","Am. J. Kidney Dis."
"American Journal of Knee Surgery","Am. J. Knee Surg."
"American Journal of Law and Medicine","Am. J. Law Med."
"American Journal of Managed Care","Am. J. Manag. Care"
"American Journal of Medical Electronics","Am. J. Med. Electron."
"American Journal of Medical Genetics","Am. J. Med. Genet."
"American Journal of Medical Genetics. Part A","Am. J. Med. Genet. A."
"American Journal of Medical Genetics. Part B, Neuropsychiatric Genetics","Am. J. Med. Genet. B Neuropsychiatr. Genet."
"American Journal of Medical Genetics. Part C, Seminars in Medical Genetics","Am. J. Med. Genet. C Semin. Med. Genet."
"American Journal of Medical Genetics. Supplement","Am. J. Med. Genet. Suppl."
"American Journal of Medical Quality","Am. J. Med. Qual."
"American Journal of Medical Technology","Am. J. Med. Technol."
"American Journal of Medicine","Am. J. Med."
"American Journal of Mental Deficiency","Am. J. Ment. Defic."
"American Journal of Mental Retardation","Am. J. Ment. Retard."
"American Journal of Nephrology","Am. J. Nephrol."
"American Journal of Nursing","Am. J. Nurs."
"American Journal of Obstetrics and Gynecology","Am. J. Obstet. Gynecol."
"American Journal of Occupational Therapy","Am. J. Occup. Ther."
"American Journal of Ophthalmology","Am. J. Ophthalmol."
"American Journal of Optometry and Archives of American Academy of Optometry","Am. J. Optom. Arch. Am. Acad. Optom."
"American Journal of Optometry and Physiological Optics","Am. J. Optom. Physiol. Opt."
"American Journal of Orthodontics","Am. J. Orthod."
"American Journal of Orthodontics and Dentofacial Orthopedics","Am. J. Orthod. Dentofacial Orthop."
"American Journal of Orthopedic Surgery","Am. J. Orthop. Surg."
"American Journal of Orthopedics","Am. J. Orthop."
"American Journal of Orthopsychiatry","Am. J. Orthopsychiatry"
"American Journal of Otolaryngology","Am. J. Otolaryngol."
"American Journal of Otology","Am. J. Otol."
"American Journal of Pathology","Am. J. Pathol."
"American Journal of Pediatric Hematology/Oncology","Am. J. Pediatr. Hematol. Oncol."
"American Journal of Perinatology","Am. J. Perinatol."
"American Journal of Pharmaceutical Education","Am. J. Pharm. Educ."
"American Journal of Pharmacogenomics","Am. J. Pharmacogenomics"
"American Journal of Pharmacy and the Sciences Supporting Public Health","Am. J. Pharm. Sci. Support. Public Health"
"American Journal of Physical Anthropology","Am. J. Phys. Anthropol."
"American Journal of Physical Medicine","Am. J. Phys. Med."
"American Journal of Physical Medicine and Rehabilitation","Am. J. Phys. Med. Rehabil."
"American Journal of Physiologic Imaging","Am. J. Physiol. Imaging"
"American Journal of Physiology","Am. J. Physiol."
"American journal of physiology. Gastrointestinal and liver physiology","Am. J. Physiol. Gastrointest. Liver Physiol."
"American Journal of Physiology. Renal Physiology","Am. J. Physiol. Renal Physiol."
"American Journal of Practical Nursing","Am. J. Pract. Nurs."
"American Journal of Preventive Medicine","Am. J. Prev. Med."
"American Journal of Primatology","Am. J. Primatol."
"American Journal of Proctology","Am. J. Proctol."
"American Journal of Proctology, Gastroenterology and Colon and Rectal Surgery","Am. J. Proctol. Gastroenterol. Colon Rectal Surg."
"American Journal of Psychiatry","Am. J. Psychiatry"
"American Journal of Psychoanalysis","Am. J. Psychoanal."
"American Journal of Psychology","Am. J. Psychol."
"American Journal of Psychotherapy","Am. J. Psychother."
"American Journal of Public Health","Am. J. Public Health"
"American Journal of Public Health and the Nation's Health","Am. J. Public Health Nations Health"
"American Journal of Reproductive Immunology","Am. J. Reprod. Immunol."
"American Journal of Reproductive Immunology and Microbiology","Am. J. Reprod. Immunol. Microbiol."
"American Journal of Respiratory and Critical Care Medicine","Am. J. Respir. Crit. Care Med."
"American Journal of Respiratory Cell and Molecular Biology","Am. J. Respir. Cell Mol. Biol."
"American Journal of Rhinology","Am. J. Rhinol."
"American Journal of Roentgenology","Am. J. Roentgenol."
"American Journal of Roentgenology, Radium Therapy and Nuclear Medicine","Am. J. Roentgenol. Radium Ther. Nucl. Med."
"American Journal of Sports Medicine","Am. J. Sports Med."
"American Journal of Surgery","Am. J. Surg."
"American Journal of Surgical Pathology","Am. J. Surg. Pathol."
"American Journal of the Medical Sciences","Am. J. Med. Sci."
"American Journal of Therapeutics","Am. J. Ther."
"American Journal of Transplantation","Am. J. Transplant."
"American Journal of Tropical Medicine and Hygiene","Am. J. Trop. Med. Hyg."
"American Journal of Veterinary Research","Am. J. Vet. Res."
"American Journal on Addictions","Am. J. Addict."
"American Laundry Digest","Am. Laund. Dig."
"American Libraries","Am. Libr."
"American Lung Association Bulletin","Am. Lung Assoc. Bull."
"American Medical News","Am. Med. News"
"American Nurse","Am. Nurse"
"American Nurses Association Publications","ANA Publ."
"American Orthoptic Journal","Am. Orthopt. J."
"American Pharmacy","Am. Pharm."
"American Psychologist","Am. Psychol."
"American Rehabilitation","Am. Rehabil."
"American Review of Respiratory Disease","Am. Rev. Respir. Dis."
"American Scientist","Am. Sci."
"American Sociological Review","Am. Sociol. Rev."
"American Surgeon","Am. Surg."
"American University Law Review","Am. Univ. Law Rev."
"American Zoologist","Am. Zool."
"AMHC Forum","AMHC Forum"
"AMIA Annual Symposium Proceedings","AMIA. Annu. Symp. Proc."
"Amino Acids","Amino Acids"
"AMRL-TR","AMRL. TR"
"AMRO","AMRO"
"Amyloid","Amyloid"
"Amyotrophic Lateral Sclerosis","Amyotroph. Lateral Scler."
"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disorders","Amyotroph. Lateral Scler. Other Motor Neuron Disord."
"AN: Arkansas Nurse","AN Ark. Nurse"
"ANA Clinical Conferences","ANA Clin. Conf."
"ANA Clinical Sessions","ANA Clin. Sess."
"Anadolu Kardiyoloji Dergisi","Anadolu Kardiyol. Derg."
"Anaesthesia","Anaesthesia"
"Anaesthesia and Intensive Care","Anaesth. Intensive Care"
"Anaesthesia, Resuscitation and Intensive Therapy","Anaesth. Resusc. Intensive Ther."
"Anaesthesiologie und Reanimation","Anaesthesiol. Reanim."
"Anaesthesist","Anaesthesist"
"Anais Brasileiros de Dermatologia","An. Bras. Dermatol."
"Anais Brasileiros de Ginecologia","An. Bras. Ginecol."
"Anais da Academia Brasileira de Ciencias","An. Acad. Bras. Cienc."
"Anais da Academia Brasileira de Ciências","An Acad. Bras. Cienc."
"Anais da Escola Nacional de Saude Publica e de Medicina Tropical","An. Esc. Nacl. Saude Publica Med. Trop. (Lisb.)"
